question,answer,thematic,subThematic,level,points,times
Centre urbain plus grand qu’un village et plus petite qu’une métropole :,"""{Ville}""",Géographie,Villes Africaines,Très Facile,5,21
Quelle est la ville la plus polluée d’Afrique ?,"""{Onitsha}""",Géographie,Villes Africaines,Difficile,10,21
"Quelle ville est surnommée Kin la Belle, capitale de l’Allemagne d’Afrique ?","""{Kinshasa}""",Géographie,Villes Africaines,Moyen,10,20
Quelle est la ville la plus chère d’Afrique ?,"""{Dakar}""",Géographie,Villes Africaines,Moyen,10,16
Quelle est la ville la plus sûre d’Afrique ?,"""{Kigali}""",Géographie,Villes Africaines,Moyen,10,16
Quelle ville est la capitale commerciale d’Afrique ?,"""{Accra}""",Géographie,Villes Africaines,Facile,10,16
Quelle est la ville la plus peuplée d’Afrique ?,"""{Lagos}""",Géographie,Villes Africaines,Difficile,10,21
Quelle est la ville la plus paisible d’Afrique ?,"""{Gaborone}""",Géographie,Villes Africaines,Moyen,10,16
Quelle est la ville la plus chère pour les étrangers d’Afrique ?,"""{Bangui}""",Géographie,Villes Africaines,Moyen,10,16
Nom philosophique de l’élément premier :,"""{Archè}""",Philosophie,Éléments Premiers,Très Facile,5,21
Quel est l’archè selon Thalès ?,"""{Eau}""",Philosophie,Éléments Premiers,Difficile,10,21
Quel est l’archè selon Anaximandre ?,"""{Infini}""",Philosophie,Éléments Premiers,Moyen,10,20
Quel est l’archè selon Anaximène ?,"""{Air}""",Philosophie,Éléments Premiers,Moyen,10,16
Quel est l’archè selon les pythagoriciens ?,"""{Nombre}""",Philosophie,Éléments Premiers,Facile,10,16
Quel est l’archè selon les stoïciens ?,"""{Feu}""",Philosophie,Éléments Premiers,Difficile,10,21
"Aussi appelé 3ème art, il désigne une suggestion du monde visible ou imaginaire sur une surface plane au moyen des couleurs :","""{Peinture}""",Art,Peinture,Très Facile,5,21
Qui a peint La Cène ?,"""{Léonard de Vinci}""",Art,Peinture,Difficile,10,21
Qui a peint La nuit étoilée ?,"""{Vincent Van Gogh}""",Art,Peinture,Moyen,10,20
Qui a peint Guernica ?,"""{Pablo Picasso}""",Art,Peinture,Moyen,10,16
Qui a peint Persistance de la Mémoire ?,"""{Salvador Dali}""",Art,Peinture,Facile,10,16
"Ensembles des histoires fabuleuses des dieux de tel ou tel peuple, civilisation, ou région :","""{Mythologie}""",Culture Générale,Mythologie,Très Facile,5,21
Dieu de la foudre dans la mythologie nordique,"""{Thor}""",Culture Générale,Mythologie,Difficile,10,21
Dieu hindou de la destruction et de la régénération,"""{Shiva}""",Culture Générale,Mythologie,Moyen,10,20
"Héros dans la mythologie grec, il a tué la créature mi-homme mi-taureau","""{Thésée}""",Culture Générale,Mythologie,Moyen,10,16
Dieu du tonnerre dans la mythologie japonaise,"""{Raijin}""",Culture Générale,Mythologie,Facile,10,16
"Dans l'univers d'Harry Potter, quelle est la célèbre école de sorcellerie où Harry et ses amis étudient la magie ?","""{Poudlard}""",Littérature,Harry Potter,Facile,5,21
Nommer le titre du cinquième des six romans de JK Rowling qui met en vedette Harry Potter :,"""{Harry Potter et l'ordre du phénix}""",Littérature,Harry Potter,Difficile,10,21
En quelle année serait-il né selon JK Rowling ?,"""{1981}""",Littérature,Harry Potter,Moyen,10,20
Quelle maison d'édition traduit-elle en français les livres mettant en vedette Albus Dumbledore ?,"""{Gallimard}""",Littérature,Harry Potter,Moyen,10,16
Je suis une élève de la maison de Serdaigle et une attrapeuse pour mon équipe de Quidditch. Harry Potter est aussi amoureux de moi. Qui suis-je ?,"""{Cho Chang}""",Littérature,Harry Potter,Facile,10,16
De quoi la baguette magique de Harry Potter est-elle faite ?,"""{Plume d'un phénix}""",Littérature,Harry Potter,Difficile,10,21
Quel est le nom du fondateur de l'école Poudlard dans la série Harry Potter ?,"""{Godric Gryffondor}""",Littérature,Harry Potter,Moyen,10,20
Quelle événement fut déclenché par l'assassinat de l'archiduc François Ferdinand par de jeunes nationalistes serbes ?,"""{La Première Guerre mondiale}""",Histoire,Première Guerre mondiale,Difficile,5,21
En quelle année a commencé la Première Guerre mondiale ?,"""{1914}""",Histoire,Première Guerre mondiale,Moyen,10,20
Quelle est la durée de la Première Guerre mondiale ?,"""{4 ans}""",Histoire,Première Guerre mondiale,Moyen,10,16
Combien de traités ont été signés au lendemain de la Première Guerre mondiale ?,"""{6}""",Histoire,Première Guerre mondiale,Facile,10,16
Quelles sont les deux alliances qui s'opposent en 1914 ?,"""{Triple Alliance / Triple Entente}""",Histoire,Première Guerre mondiale,Difficile,10,21
Qui était le président des États-Unis pendant une partie de la Première Guerre mondiale ?,"""{Woodrow Wilson}""",Histoire,Première Guerre mondiale,Moyen,10,20
"Thème à découvrir : Maladie - Entité opposée à la santé, dont l’effet est dû à une altération","""{Maladie}""",Médecine,Maladie,Facile,5,21
Que veut dire SIDA ?,"""{Syndrome Immunodéficience Acquise}""",Médecine,SIDA,Difficile,10,21
De quelle maladie souffrait Ste Thérèse de l’Enfant Jésus ?,"""{Tuberculose}""",Médecine,Tuberculose,Moyen,10,20
À quelle maladie est due une carence en vitamines B12 ?,"""{Anémie ou lésion du système nerveux}""",Médecine,Vitamines B12,Moyen,10,16
Que peut provoquer une carence en Magnésium ?,"""{Vertiges, nausées, étourdissement}""",Médecine,Magnésium,Difficile,10,16
Quelle est la maladie caractérisée par une inflammation des poumons ?,"""{Pneumonie}""",Médecine,Poumons,Moyen,10,21
Période de l’histoire du monde située entre l’Antiquité et l’époque moderne,"""{Moyen-âge}""",Histoire,Périodes historiques,Facile,5,36
Principale institution religieuse du Moyen Âge en Europe,"""{Église Catholique}""",Histoire,Moyen Âge,Facile,5,21
Quel évènement a marqué le début du Moyen Âge ?,"""{Chute de l’Empire Romain d’Occident en 476}""",Histoire,Moyen Âge,Difficile,10,21
Qui était Charlemagne ?,"""{C’était un roi franc qui a établi un vaste empire en Europe occidentale au VIIIe siècle}""",Histoire,Charlemagne,Moyen,10,20
Quelle période a succédé au Moyen Âge ?,"""{La Renaissance française}""",Histoire,Renaissance,Moyen,10,16
Quelle est la signification de l'acronyme « Moyen Âge » ?,"""{Cela signifie la période intermédiaire entre l'Antiquité et l'époque moderne}""",Histoire,Moyen Âge,Difficile,10,16
Quel est l'événement marquant la fin du Moyen Âge ?,"""{La chute de Constantinople en 1453}""",Histoire,Moyen Âge,Difficile,10,21
"Attention publique dont bénéficie une personne, un groupe, une œuvre, bénéficiaire de cette attention.","""{Célébrité}""",Culture,Célébrité,Facile,5,21
Qui est la célébrité la plus influente de l’année aux USA en 2023 ?,"""{Taylor Swift}""",Culture,Célébrité,Difficile,10,21
Quel célèbre artiste est le meilleur artiste sud-africain en 2023 ?,"""{Diamond Platinumz}""",Culture,Célébrité,Moyen,10,20
Qui est le peintre le plus célèbre du monde ?,"""{Léonard de Vinci}""",Culture,Peinture,Moyen,10,16
Quel célèbre groupe est le plus connu de tous les temps ?,"""{Les Beatles}""",Culture,Musique,Difficile,10,16
Quel est le film le plus attendu de l'année 2023 ?,"""{Avatar: The Way of Water}""",Culture,Cinéma,Difficile,10,21
Quel film sorti en 2022 aborde le thème des Amazones du Bénin au temps du roi Ghézo ?,"""{The Woman King}""",Cinéma,Amazones du Bénin,Facile,5,21
Dans quel pays a été tourné le film « THE WOMAN KING » ?,"""{Afrique du Sud}""",Cinéma,The Woman King,Difficile,10,21
Quel est le vrai nom de l’actrice jouant le rôle de Nanisca ?,"""{Viola Davis}""",Cinéma,Nanisca,Moyen,10,20
"Dans le film, par quel nom désigne ces femmes guerrières surnommées les « Amazones » par les Européens, ont constitué l’élite de l’armée du royaume d’Abomey aux XVIIIe et XIXe siècles ?","""{Les Agodjiés}""",Cinéma,Amazones du Bénin,Moyen,10,16
Quel est le nom de la meilleure guerrière des Agodjiés et aussi la fille de Nanisca ?,"""{Nawi}""",Cinéma,Amazones du Bénin,Difficile,10,16
"Qui joue le rôle de la Meunon, la conseillère spirituelle du roi et aussi compositrice de la musique originale du film ?","""{Angélique Kidjo}""",Cinéma,Meunon,Difficile,10,21
Question disciplinaire : Quel écrivain béninois a écrit « Les tresseurs de corde » ?,"""{Jean Pliya}""",Littérature,Jean Pliya,Facile,5,21
Quel genre littéraire Jean Pliya a-t-il principalement pratiqué dans ses œuvres ?,"""{Le théâtre}""",Littérature,Jean Pliya,Difficile,10,21
Quel est le nom du roi béninois dont Jean Pliya a consacré un roman historique en 1981 ?,"""{Béhanzin}""",Littérature,Jean Pliya,Moyen,10,20
Quel est le titre de la pièce de théâtre de Jean Pliya qui met en scène un personnage qui se prétend dévot mais qui n’est en fait un hypocrite ?,"""{Tartuffe ou l’imposteur}""",Littérature,Jean Pliya,Moyen,10,16
Quel est le titre de la nouvelle qui a valu à Jean Pliya le Grand Prix littéraire d’Afrique Noire en 1967 ?,"""{L’arbre fétiche}""",Littérature,Jean Pliya,Difficile,10,16
