question                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,answer                                          ,thematic         ,sub_thematic          ,level     ,points ,times
Combien font la factorielle de 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,{1}                                             ,Mathématiques    ,Factorielle           ,Facile    ,    10 ,    1
Combien font la factorielle de 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,{6}                                             ,Mathématiques    ,Factorielle           ,Facile    ,    10 ,    1
Quel est le surnom de l’équipe nationale du GHANA                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,{LES BLACKS STARS}                              ,Sport            ,Football              ,Moyen     ,    15 ,    2
Quelle équipe a éliminé les écureuils du Bénin à la CAN passée                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,{Les lions de la teringa}                       ,Sport            ,Football              ,Difficile ,    20 ,    3
Quel est l’autre nom de la bande dessinée                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,{12}                                            ,Art              ,Bande dessinée        ,Facile    ,    10 ,    1
Quelles récompenses cinématographiques décerne-t-on aux meilleures productions américaines                                                                                                                                                                                                                                                                                                                                                                                                                            ,{LES OSCARS}                                    ,Cinéma           ,Récompenses           ,Moyen     ,    15 ,    2
"C 8 lettres, personne avec qui on partage certaines occupations, certaines habitudes et qui de ce fait devient familière, proche, compagnon."                                                                                                                                                                                                                                                                                                                                                                        ,{CAMARADE}                                      ,Mots croisés     ,                      ,Moyen     ,    15 ,    2
"E 8 lettres, rendre plus court en longueur."                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,{ECOURTER}                                      ,Mots croisés     ,                      ,Difficile ,    20 ,    3
"G 6 lettres, Cellule reproductrice mâle ou femelle"                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,{GAMETE}                                        ,Mots croisés     ,                      ,Difficile ,    20 ,    3
"L 8 lettres, local d’habitation"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,{LOGEMENT}                                      ,Mots croisés     ,                      ,Moyen     ,    15 ,    2
A quel artiste ivoirien devons-nous le morceau Chevalier de Dieu                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,{BEBI PHILIP}                                   ,Musique          ,Artistes              ,Difficile ,    20 ,    3
Quel groupe de RNB béninois avait pour pseudo le nom d’une molécule                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,{H2O ASSOUKA}                                   ,Musique          ,Groupes               ,Difficile ,    20 ,    3
"M 7 lettres, vêtement avec ou sans manche qui se porte par-dessus les autres habits"                                                                                                                                                                                                                                                                                                                                                                                                                                 ,{MANTEAU}                                       ,Mots croisés     ,                      ,Moyen     ,    15 ,    2
"P 10 lettres, qui connait plusieurs langues"                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,{POLYGLOTTE}                                    ,Mots croisés     ,                      ,Difficile ,    20 ,    3
"R 6 lettres, unité de mesure d’angle"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,{RADIAN}                                        ,Mots croisés     ,                      ,Difficile ,    20 ,    3
"S 7 lettres, Goût, complaisance à faire ou à voir souffrir autrui"                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,{SADISME}                                       ,Mots croisés     ,                      ,Difficile ,    20 ,    3
Quel est le mode de transmission le plus fréquent : par rapport homosexuel ou par partage de seringues usagées ou par rapport hétérosexuel                                                                                                                                                                                                                                                                                                                                                                            ,{PAR RAPPORT HETEROSEXUEL}                      ,Education Santé  ,VIH/SIDA              ,Difficile ,    20 ,    3
La meilleure façon de se protéger du VIH/SIDA c’est quand : la partenaire prend une pilule contraceptive ou utilise un spermicide ou on utilise un préservatif masculin ou féminin ou on superpose deux préservatifs                                                                                                                                                                                                                                                                                                  ,{ON UTILISE UN PRESERVATIF MASCULIN OU FEMININ} ,Education Santé  ,VIH/SIDA              ,Difficile ,    20 ,    3
"Peuple créé au début du XIXème siècle par un jeune chef nommé Chaka, mon organisation repose sur un système de classes d’âge, avec une forte militarisation. En 1879, j’inflige une cuisante défaite aux troupes anglaises, mais je finis par être placé sous protectorat britannique, avant d’être intégré à la province du Natal en 1897. Peuple bantou d’environ 6 millions d’individus, je pratique aujourd’hui l’agriculture et l’élevage sur mon territoire situé au nord-est de l’Afrique du Sud, je suis..." ,{ZOULOUS (les)}                                 ,Culture générale ,Peuples               ,Difficile ,    20 ,    3
"Question discipline : en anglais, je suis marvel ou wonder"                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,{UNE MERVEILLE}                                 ,Culture générale ,Merveilles du monde   ,Moyen     ,    15 ,    2
Quelle est la première des merveilles du monde antique                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,{LA PYRAMIDE DE KHEOPS}                         ,Culture générale ,Merveilles du monde   ,Moyen     ,    15 ,    2
Quelle est la deuxième des merveilles du monde antique                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,{LES JARDINS SUSPENDUS DE BABYLONE}             ,Culture générale ,Merveilles du monde   ,Difficile ,    20 ,    3
Quelle est la troisième des merveilles du monde antique                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,{LA STATUE DE ZEUS}                             ,Culture générale ,Merveilles du monde   ,Difficile ,    20 ,    3
Quelle est la quatrième des merveilles du monde antique                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,{LE MAUSOLEE D’HALICARNASSE}                    ,Culture générale ,Merveilles du monde   ,Difficile ,    20 ,    3
"Sur le drapeau des jeux olympiques, combien d’anneaux sont représentés"                                                                                                                                                                                                                                                                                                                                                                                                                                              ,{5}                                             ,Sport            ,Jeux Olympiques       ,Facile    ,    10 ,    1
Comment appelle-t-on l’alliage naturel d’or et d’argent                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,{ELECTRUM / OR ARGENTAL}                        ,Chimie           ,                      ,Difficile ,    20 ,    3
"En 1919, quel prix littéraire Marcel Proust reçoit-il pour « A l’ombre des jeunes filles en fleur » ?"                                                                                                                                                                                                                                                                                                                                                                                                               ,{GONCOURT}                                      ,Littérature      ,Prix littéraires      ,Difficile ,    20 ,    3
Comment appelle-t-on la personne fabriquant des coiffures postiches en cheveux naturels ou artificiels                                                                                                                                                                                                                                                                                                                                                                                                                ,{PERRUQUIER (un) / PERRUQUIERE (une)}           ,Métiers          ,                      ,Moyen     ,    15 ,    2
Quel était le prénom du maréchal Pétain                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,{PHILIPPE}                                      ,Histoire         ,Personnalités         ,Moyen     ,    15 ,    2
Quel nom désigne un médecin spécialiste des reins et de ses maladies                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,{NEPHROLOGUE (un)}                              ,Médecine         ,Spécialités           ,Difficile ,    20 ,    3
"Dans la mythologie grecque, quel nom porte la femme de Priam avec qui il eût pour enfants Hector, Pâris et Cassandre"                                                                                                                                                                                                                                                                                                                                                                                                ,{HECUBE}                                        ,Mythologie       ,Personnages           ,Difficile ,    20 ,    3
