question,answer,thematic,subThematic,level,points,times
Quel compositeur de jazz et saxophoniste est surnommé Bird ?,"""{Charlie Parker}""",Musique,Jazz,Moyen,10,18
Sur quel album de Michael Jackson se trouve la chanson mythique “Beat it“ ?,"""{Thriller}""",Musique,Pop,Moyen,10,16
Quel est le nom de la troisième symphonie de Beethoven ?,"""{Héroïque}""",Musique,Classique,Moyen,10,16
Dans quelle ville du Mississippi est né le chanteur Elvis Presley en 1935 ?,"""{Tupelo}""",Histoire,Culture américaine,Moyen,10,16
Quel groupe de musique populaire des années 1990 s’est réuni le temps d’une tournée en 2007 ?,"""{Les Spice Girls}""",Musique,Pop,Moyen,10,16
"À quel âge maudit trois grands noms de la musique et très grands consommateurs de drogues ont-ils rendu l’âme, soit Jim Morrison, Janis Joplin et Jimi Hendrix ?","""{27 ans}""",Histoire,Culture américaine,Moyen,10,16
"En musique, que signifie l’acronyme DJ ?","""{Disc-Jockey}""",Musique,Terminologie musicale,Facile,10,12
"Style de musique house apparu en Afrique du Sud en 2012 qui est un mélange de deep house, de jazz et de musique louange caractérisé par des synthés, des nappes aérées et de percussions traditionnelles.","""{Amapiano}""",Musique,Genres musicaux,Moyen,10,16
"Quel est le genre musical associé à des artistes tels que Jimmy Cliff, Peter Tosh et Bob Marley ?","""{Reggae}""",Musique,Genres musicaux,Moyen,10,16
Quelle artiste américaine a chanté le single dont le titre signifie en français ‘’Dieu est une femme’’ ?,"""{Ariana Grande}""",Musique,Chanteurs,Moyen,10,16
Chanteurs du single ‘’Symphony’’ ,"""{Clean Bandit feat Zara Larsson}""",Musique,Chanteurs,Moyen,10,16
"En terme de musique, que signifie label ?","""{Maison de disques}""",Musique,Terminologie musicale,Facile,10,12
"Quel est le nom de la célèbre chanteuse pop, surnommée la’’ Reine de la Pop’ ’qui a sorti des albums à succès tels que ‘’Like a Virgin’’ et ‘’Like a Prayer’’ ?","""{Madonna}""",Musique,Chanteurs,Moyen,10,16
"Quel compositeur, né en 1678 et mort en 1741, écrivit près de 40 opéras et 500 concertos, dont 230 pour violons ?","""{Antonio Vivaldi}""",Musique,Compositeurs,Moyen,10,16
"Compositeur français, on me doit l’opéra La damnation de Faust.","""{Hector Berlioz}""",Musique,Compositeurs,Moyen,10,16
Ce type de musique vocale et sacrée pratiquée au 17e siècle par les esclaves noirs des Etats-Unis est à l’origine du mouvement gospel.,"""{Negro spiritual}""",Musique,Genres musicaux,Moyen,10,16
Quel compositeur et interprète français né en 1938 a chanté en 1975 L’été indien ?,"""{Joe Dassin}""",Musique,Chanteurs,Moyen,10,16
Nom du dernier album de Zeynab ?,"""{Olukêmi}""",Musique,Chanteurs,Moyen,10,16
Quelle chanteuse nous a offert Milord?,"""{Edith Piaf}""",Musique,Chanteurs,Moyen,10,16
A quel chanteur béninois dont-on le morceau « Akwè » ?,"""{Alby}""",Musique,Chanteurs,Moyen,10,16
A quel duo devons-nous le morceau « Tu veux pas danser tu fais boss » ?,"""{X-Time et Crisba}""",Musique,Chanteurs,Moyen,10,16
A quelle chanteuse devons-nous le morceau « Tchité » ?,"""{Fati}""",Musique,Chanteurs,Moyen,10,16
Le 1er Février de quelle année mourut la chanteuse Affo Love ?,"""{2009}""",Musique,Chanteurs,Moyen,10,16
Que signifie « BOC » un titre de Niska ?,"""{Batard ont couru}""",Musique,Terminologie musicale,Moyen,10,16
Quel artiste Béninois a chanté « Amoureux de toi » avec Queen Fumi ?,"""{Crisba}""",Musique,Chanteurs,Moyen,10,16
Quel est le vrai nom de Crisba ?,"""{Orel Thérence Guézo AHOUEHA}""",Musique,Chanteurs,Moyen,10,16
Qui a remporté le prix de meilleur artiste panafricain en 2023 ?,"""{Réma}""",Musique,Chanteurs,Moyen,10,16
Quel est le nom du leader des Beatles?,"""{John Lennon}""",Musique,Chanteurs,Moyen,10,16
Comment se nomme la muse de la musique?,"""{Euterpe}""",Musique,Terminologie musicale,Moyen,10,16
De quel pays nous provient la rumba?,"""{Cuba}""",Musique,Genres musicaux,Moyen,10,16
"Quelle chanteuse française a popularisé, avec les Compagnes de la Chanson, le célèbre air Les Trois Cloches?","""{Edith Piaf}""",Musique,Chanteurs,Moyen,10,16
Qui était considéré comme le roi de la Pop?,"""{Michael Jackson}""",Musique,Chanteurs,Moyen,10,16
De quel pays est originaire le reggae ?,"""{Jamaïque}""",Musique,Genres musicaux,Moyen,10,16
Quelle est la nationalité de Céline Dion R. ?,"""{Canadienne}""",Musique,Chanteurs,Moyen,10,16
Quel groupe a fait connaitre Beyoncé?,"""{Destiny’s child}""",Musique,Chanteurs,Moyen,10,16
Quels artistes ont chanté la chanson ‘’We don’t talk anymore’’ ?,"""{Charlie Puth et Selena Gomez}""",Musique,Chanteurs,Moyen,10,16
Quelle est la cinquième note de la gamme naturelle ?,"""{Sol}""",Musique,Terminologie musicale,Moyen,10,16
Quelle chanteuse américaine était considérée comme la reine de la soul music ?,"""{Aretha Franklin}""",Musique,Chanteurs,Moyen,10,16
Le genre musical le plus écouté au monde,"""{La musique pop}""",Musique,Genres musicaux,Moyen,10,16
