question,answer,thematic,subThematic,level,points,times
"Quel traité, signé en 1763, met fin à la guerre de 7 ans ?","""{Traité de Paris}""",Histoire,Guerres,Moyen,10,20
Quel pays d’Afrique obtint son indépendance en 1993 ?,"""{L’Érythrée}""",Géographie,Afrique,Moyen,10,20
Quel homme politique portugais est président de la Commission européenne depuis 2004 ?,"""{José Manuel Durão Barroso}""",Politique,Union européenne,Moyen,10,20
Quel homme politique est le premier amérindien élu à la tête de la Bolivie ?,"""{Evo Morales}""",Politique,Bolivie,Moyen,10,20
"Le 21 avril 2002, Jean-Marie Le Pen accédait au second tour de l’élection présidentielle française, inquiétant ainsi une bonne partie du pays. Battu du même coup, quel homme a tout de suite annoncé qu’il se retirait de la vie politique ?","""{Lionel Jospin}""",Politique,France,Moyen,10,20
"Dans quel célèbre discours prononcé le 5 Mars 1946, Churchill dénonçait l’attitude de Staline en affirmant que “ de Stettin, dans la Baltique, à Trieste dans l'Adriatique, un rideau de fer est descendu à travers le continent“ ?","""{Discours de Fulton}""",Histoire,Guerre froide,Difficile,10,21
Combien de présidents américains ont été au pouvoir durant la guerre froide ?,"""{8}""",Histoire,Guerre froide,Moyen,10,20
Donnez les noms et prénoms des deux signataires des accords SALT II ?,"""{Jimmy Carter et Léonid Brejnev}""",Histoire,Guerre froide,Moyen,10,20
Quelle est la première grande défaite de Staline dans la guerre froide ?,"""{Blocus de Berlin}""",Histoire,Guerre froide,Difficile,10,21
Qui ordonna en 1961 la construction du mur de Berlin ?,"""{Nikita Krouchtchev}""",Histoire,Guerre froide,Difficile,10,21
De quelle nationalité est l’actuelle Miss Univers 2011 ?,"""{Angola}""",Culture,Miss Univers,Moyen,10,20
Quel club de NBA est actuellement la propriété de Michael Jordan ?,"""{Charlotte Bobcats}""",Sport,Basket-ball,Moyen,10,20
Quand a eu lieu le séisme à Haïti ?,"""{12 Janvier 2010}""",Géographie,Amérique,Moyen,10,20
Qui était Directeur du contre terrorisme aux USA au moment des attentats du 11 Septembre 2001 ?,"""{Richard Clark}""",Politique,États-Unis,Moyen,10,20
"Quel socialiste a été élu président de l’Uruguay en octobre 2004, devenant ainsi le premier politicien de gauche à gouverner ce pays ?","""{Tabaré Vázquez}""",Politique,Uruguay,Moyen,10,20
Quel homme politique tchèque est le leader du « printemps de Prague » en 1968 ?,"""{Alexander Dubček}""",Histoire,Europe de l'Est,Difficile,10,21
Quelle reine d’Angleterre fut la dernière de la lignée des Tudors ?,"""{Elizabeth Ier}""",Histoire,Angleterre,Moyen,10,20
Quel était le surnom du général et dictateur espagnol Franco ?,"""{Caudillo}""",Histoire,Espagne,Moyen,10,20
Comment s’appelait la mère d’Hitler ?,"""{Clara Pötzl}""",Histoire,Allemagne,Moyen,10,20
Sous quel nom désigne-t-on le pillage des magasins et synagogues juifs organisés par Goebbels le 10 novembre 1938 ?,"""{La nuit de cristal}""",Histoire,Shoah,Difficile,10,21
Quel nom a-t-on donné à l’exécution des chefs SA ordonnée par Hitler le 1er Juillet 1934 ?,"""{La nuit des longs couteaux}""",Histoire,Troisième Reich,Difficile,10,21
Quel est le nom de la capitale de la France ?,"""{Paris}""",Géographie,Villes,Facile,10,20
Quel est le nom du président actuel des États-Unis ?,"""{Joe Biden}""",Politique,États-Unis,Facile,10,20
Quel est le nom du premier homme à avoir marché sur la Lune ?,"""{Neil Armstrong}""",Science,Astronomie,Difficile,10,21
Quel est le nom de la formule chimique de l'eau ?,"""{H2O}""",Science,Chimie,Facile,10,20
