question,answer,thematic,subThematic,level,points,times
Quel est l’équivalent romain du grec Hadès ?,"""{Pluton}""",Mythologie,Divinités,Facile,10,18
Quel dieu romain est associé à la guerre ?,"""{Mars}""",Mythologie,Divinités,Facile,10,17
"Quelle est la signification de l'expression latine 'Dura Lex, Sed Lex' ?","""{La loi est dure, mais c’est la loi.}""",Langues,Expressions latines,Moyen,10,22
Quel est le plus grand fleuve traversant l'Égypte ?,"""{Nil}""",Géographie,Rivières,Facile,10,16
Dans quel pays se situe la basilique Saint-Pierre ?,"""{Italie}""",Religion,Édifices religieux,Facile,10,20
Quelle feuille est représentée au centre du drapeau canadien ?,"""{Érable}""",Symboles nationaux,Drapeaux,Facile,10,18
Quelle est la devise du Canada ?,"""{D’un océan à l’autre}""",Histoire,Devise nationale,Moyen,10,23
Quel pays est réputé mondialement pour la qualité de ses montres ?,"""{Suisse}""",Industrie horlogère,Pays producteurs,Moyen,10,21
Quel pays était autrefois gouverné par les tsars ?,"""{Russie}""",Histoire,Monarchies,Moyen,10,20
Quel pays a accueilli les Jeux Olympiques de 2000 ?,"""{Sydney}""",Sports,Jeux Olympiques,Moyen,10,19
Quel pays a pour indicatif téléphonique +236 ?,"""{Centrafrique}""",Géographie,Indicatifs téléphoniques,Moyen,10,21
Quel est le nom du 7ème livre de la série Harry Potter ?,"""{Harry Potter et les reliques de la mort}""",Littérature,Livres,Moyen,10,25
Quel pays a pour capitale Tallinn ?,"""{Estonie}""",Géographie,Capitales,Facile,10,18
À qui devons-nous cette phrase 'Plaise ciel qu’aucun bain de sang ne nous éclabousse et ne nous emporte dans ses flots' ?,"""{Mgr Isidore de SOUZA}""",Histoire,Personnalités,Difficile,10,27
Comment s’appelle le discours du pape ?,"""{Motu proprio « Apostolica Sollicitudo »}""",Religion,Discours papaux,Difficile,10,28
Quelle est la monnaie utilisée au Libéria ?,"""{Dollar Libérien}""",Économie,Monnaies,Facile,10,20
Qui est l’auteur de « la belle au bois dormant » ?,"""{Charles Perrault}""",Littérature,Auteurs classiques,Facile,10,23
Quelle est la formule de l’aire d’un trapèze ?,"""{(B+P) x h/2}""",Mathématiques,Géométrie,Moyen,10,25
Quel navigateur a franchi en 1774 pour la première fois ?,"""{James Cook}""",Histoire,Explorateurs,Moyen,10,26
Qui est l’actuel président de l’Union Africaine (UA) ?,"""{Azali ASSOUMANI}""",Politique,Leaders internationaux,Moyen,10,24
Quel est le pays le plus industrialisé au monde ?,"""{Chine}""",Économie,Industries,Difficile,10,29
Combien vaut un dollar en FCFA ?,"""{550 F}""",Économie,Taux de change,Facile,10,18
Combien vaut un Yen en Dollar ?,"""{0.0092 Dollars}""",Économie,Taux de change,Moyen,10,26
Qui a écrit Les Fantômes du Brésil ?,"""{Florent COUA-ZOTTI}""",Littérature,Auteurs contemporains,Difficile,10,28
Quelle est la capitale historique du Bénin ?,"""{Abomey}""",Géographie,Villes historiques,Moyen,15,25
Quelle est la planète la plus proche du système solaire ?,"""{Mercure}""",Astronomie,Planètes,Facile,10,20
Quel est le satellite naturel de la Terre ?,"""{Lune}""",Astronomie,Satellites,Facile,10,22
Que signifie MST ?,"""{Maladie Sexuellement Transmissible}""",Santé,Maladies,Facile,10,24
