question,answer,thematic,subThematic,level,points,times
Quel est le club le plus titré au monde toutes compétitions confondues ?,"""{Al Ahly}""",Sports,Football,Très Difficile,10,21
Quel est le premier club de football au monde ?,"""{Sheffield FC}""",Sports,Football,Facile,10,16
Qui est le nouveau champion universel de la WWE 2023 ?,"""{Roman Reigns}""",Sports,Lutte,Difficile,10,18
Quel pays organisera la CAN 2025 ?,"""{Maroc}""",Sports,Football,Moyen,10,19
Quel joueur de soccer a reçu le prix du Ballon d'Or en 2008 ?,"""{Cristiano Ronaldo}""",Sports,Football,Difficile,10,18
"Quel jeu se joue typiquement à trois boules en France, mais avec huit boules en Amérique du Nord ?","""{Le Billard}""",Jeux,Billard,Moyen,10,22
Ce sport est considéré comme l'ancêtre de tous les sports de raquettes.,"""{Jeu de paume}""",Sports,Sports de raquettes,Facile,10,20
Dans quel sport pratique-t-on la technique du Fosbury Flop ?,"""{Saut en hauteur}""",Sports,Athlétisme,Moyen,10,16
À quel sport associe-t-on le « March Madness » ?,"""{Basket-ball}""",Sports,Basket-ball,Difficile,10,17
Quel pays a accueilli les Jeux olympiques d'été de 2008 ?,"""{Chine}""",Sports,Jeux olympiques,Difficile,10,20
"En 1971, au football, comment la Coupe des villes de foire a-t-elle été rebaptisée ?","""{Coupe de l'UEFA}""",Sports,Football,Moyen,10,19
"Au Sumo, quelle est la plus prestigieuse des trois divisions de la hiérarchie ?","""{Yokozuna}""",Sports,Sumo,Difficile,10,21
Quel joueur portugais a reçu le premier Ballon d'Or avant celui de Luis Figo en 2000 ?,"""{Eusébio}""",Sports,Football,Difficile,10,19
"Au football, quelle est à ce jour la Coupe du Monde qui a accueilli le plus de spectateurs ?","""{États-Unis, 1994}""",Sports,Football,Difficile,10,20
Dans quel pays se déroulent actuellement les championnats du monde de rugby ?,"""{Nouvelle-Zélande}""",Sports,Rugby,Difficile,10,19
À quelle date doit prendre fin le Championnat d'Europe de Basket en Lituanie qui a débuté le 31 août ?,"""{18 septembre}""",Sports,Basket-ball,Moyen,10,17
"Aux derniers championnats du monde d'athlétisme, dans quelle discipline la Brésilienne Anna Murer a-t-elle été sacrée Championne du Monde ?","""{Saut à la perche}""",Sports,Athlétisme,Difficile,10,21
"En 2000, Lance Armstrong a remporté le Tour de France après avoir vaincu quelle grave maladie ?","""{Cancer des testicules}""",Sports,Cyclisme,Difficile,10,22
"Au basket, combien de temps l'équipe qui attaque a-t-elle le droit de rester dans la raquette ?","""{3s}""",Sports,Basket-ball,Facile,10,16
Quel tennisman a remporté 2 tournois de Grand Chelem (US Open 2022 et Wimbledon 2023) et a été classé n°2 mondial au classement ATP en 2023 ?,"""{Carlos Alcaraz}""",Sports,Tennis,Difficile,10,20
"Quel ancien champion de l'UFC a failli créer la sensation en mettant à terre Tyson Fury, mais a perdu par une décision partagée controversée à Riyad en 2023 ?","""{Francis Ngannou}""",Sports,UFC,Difficile,10,22
Qui a été élu meilleur joueur de la Liga pour la saison 2022-2023 ?,"""{Ter Stegen}""",Sports,Football,Difficile,10,18
Qui a été le 1er choix de la draft NBA 2023 ?,"""{Victor Wembanyama}""",Sports,Basket-ball,Difficile,10,19
Quel était le nom de naissance de Mohamed Ali ?,"""{Cassius Marcellus Clay Jr}""",Sports,Boxe,Difficile,10,23
Qui a été le plus jeune joueur à marquer 10 000 points en NBA ?,"""{LeBron James}""",Sports,Basket-ball,Difficile,10,18
Que signifient les lettres BMX ?,"""{Bike Moto X}""",Sports,Cyclisme,Facile,10,20
Qui a été le premier joueur britannique à remporter des titres de champion dans quatre pays ?,"""{David Beckham}""",Sports,Football,Difficile,10,21
Quelle est la distance officielle du Marathon ?,"""{42,195 kilomètres}""",Sports,Course à pied,Facile,10,25
Quel est le sport national du Japon ?,"""{Le Sumo}""",Sports,Sumo,Facile,10,20
Quel sport est le moins pratiqué au monde ?,"""{Le jeu de Shinty, dérivé du sport irlandais du hurling.}""",Sports,Divers,Difficile,10,30
Quel est le pays d’origine du Volley-ball ?,"""{USA}""",Sports,Volley-ball,Facile,10,18
Qui a éliminé le Sénégal en huitième de finale en coupe du monde 2022 ?,"""{Angleterre}""",Sports,Football,Difficile,10,22
Qui a remporté la coupe du monde de rugby 2023 ?,"""{Afrique du Sud}""",Sports,Rugby,Difficile,10,21
