question,answer,thematic,subThematic,level,points,times
"A 5 lettres, Quelle substance odorante est utilisée pour donner du goût ou de l'odeur ?","""{Arôme}""",Cuisine,Arômes,Facile,10,21
L 8 lettres : Quel tissu fibreux relie les os entre eux et permet de stabiliser les articulations ?,"""{Ligament}""",Anatomie,Système musculo-squelettique,Moyen,10,17
"L 7 lettres : Quelle plante aromatique de la famille des Lamiacées, originaire de la région méditerranéenne ?","""{Lavande}""",Botanique,Plantes aromatiques,Moyen,10,20
F 7 lettres : Quel mouvement permet de plier une partie des membres ?,"""{Flexion}""",Anatomie,Mouvements corporels,Facile,10,18
C 9 lettres : Quelle punition inflige-t-on à une personne pour un acte jugé répréhensible ?,"""{Châtiment}""",Droit,Justice,Facile,10,19
S 9 lettres : Quelle composition musicale pour orchestre se compose généralement de plusieurs mouvements ?,"""{Symphonie}""",Musique,Composition musicale,Moyen,10,22
"M 6 lettres : Quelle roche métamorphique est composée principalement de calcite, de dolomite ou de serpentine, et est utilisée pour la sculpture, la construction et d’autres usages décoratifs ?","""{Marbre}""",Sciences,Géologie,Facile,10,20
"M 7 lettres : Quelque chose qui est malsain ou anormal, souvent associé à la maladie ou à la mort ?","""{Morbide}""",Médecine,Terminologie médicale,Moyen,10,19
V 12 lettres : Quels sont les changements imprévus et souvent malheureux dans la vie ou les circonstances ?,"""{Vicissitudes}""",Vie quotidienne,Épreuves de la vie,Difficile,10,25
V 9 lettres : Quels sont les os individuels qui forment la colonne vertébrale ?,"""{Vertèbres}""",Anatomie,Squelette humain,Moyen,10,23
F 6 lettres : Quelle déformation lente subit un matériau soumis à une contrainte permanente ?,"""{Fluage}""",Physique,Matériaux,Moyen,10,18
E 8 lettres : Quel petit requin comestible est contenu dans l’Atlantique et la Méditerranée ?,"""{Enissolé}""",Cuisine,Poissons,Difficile,10,24
"D 5 lettres : Quel mollusque gastéropode marin, sans coquille, dont la partie postérieure est entourée de branchies ?","""{Doris}""",Biologie marine,Mollusques,Moyen,10,20
D 9 lettres : Quel est l'état d’extrême pauvreté ?,"""{Dénuement}""",Société,Pauvreté,Moyen,10,22
O 8 lettres : Quelle concrétion minérale est contenue à l’état normal dans l’organe de l’équilibration ?,"""{Otolithe}""",Anatomie,Organes sensoriels,Difficile,10,26
D 6 lettres : Quelle maladie affecte le pied de mouton ?,"""{Dietin}""",Médecine vétérinaire,Maladies animales,Moyen,10,19
S 12 lettres : Qu'est-ce que l'ablation chirurgicale de la membrane synoviale d’une articulation ?,"""{Synovectomie}""",Médecine,Chirurgie orthopédique,Difficile,10,30
"R 6 lettres : Quel palmier de l’Afrique tropicale, de Madagascar et de l’Amérique, fournit une fibre très solide utilisée en vannerie et pour la confection des liens ?","""{Raphie}""",Botanique,Plantes exotiques,Moyen,10,23
T 6 lettres : Quel travail ou métier est représenté par le mot Turbin ?,"""{Turbin}""",Emploi,Métiers divers,Moyen,10,19
L 7 lettres : Quel dictionnaire succinct est représenté par le mot Lexique ?,"""{Lexique}""",Linguistique,Dictionnaires,Facile,10,18
E 6 lettres : Quel adjectif qualifie une personne qui a un grand savoir ?,"""{Érudit}""",Éducation,Qualités intellectuelles,Facile,10,17
A 7 lettres : Quel verbe signifie aider ou soutenir ?,"""{Adjuver}""",Langue française,Verbes,Moyen,10,20
Q 8 lettres : Quel mot signifie paix et tranquillité ?,"""{Quiétude}""",Émotions,États d'esprit,Facile,10,22
A 8 lettres : Quel est le terme pour désigner un homme vivant de la prostitution ?,"""{Alphonse}""",Société,Prostituée masculine,Difficile,10,25
L 9 lettres : Quel adjectif qualifie quelque chose qui taraude l’esprit et qui obsède ?,"""{Lancinant}""",Psychologie,Émotions persistantes,Difficile,10,28
G 9 lettres : Quel est le terme pour désigner une petite poule ou poulette ?,"""{Galinette}""",Animaux,Oiseaux de basse-cour,Moyen,10,23
L 5 lettres : Quel est le terme désignant le bord intérieur ou extérieur de la vulve ?,"""{Lèvre}""",Anatomie,Parties du corps,Facile,10,15
B 8 lettres : Quel est l'ensemble de la matière organique pouvant fournir de l’énergie par dégradation ?,"""{Biomasse}""",Écologie,Énergie renouvelable,Difficile,10,23
H 7 lettres : Quel est le terme désignant un vieux lambeau de toile ou d’étoffe guenille ?,"""{Haillon}""",Textiles,Vêtements usagés,Moyen,10,18
L 7 lettres : Quel est le terme désignant des morceaux de chair déchirés ?,"""{Lambeau}""",Médecine,Chirurgie,Moyen,10,20
"F 4 lettres : Quel domaine noble dont le détenteur, le vassal, devait l’hommage et ordinairement aussi quelque redevance, quelque service au seigneur, possesseur du domaine ?","""{Fief}""",Histoire,Féodalité,Difficile,10,16
"E 7 lettres : Quelle large bande d’étoffe, que l’on porte de la droite à la gauche en forme de baudrier et qu’on porte encore en forme de ceinture ?","""{Écharpe}""",Mode,Accessoires,Facile,10,19
"P 7 lettres : Quel est le terme désignant un petit clou court, à tête plate et large, dont on se sert pour fixer au mur ou sur une planche des feuilles de papier, des images, des affiches ?","""{Punaise}""",Bricolage,Fixation,Facile,10,17
A 9 lettres : Quel mot désigne quelque chose qui se produit par hasard ?,"""{Aléatoire}""",Probabilités,Événements aléatoires,Moyen,10,21
H 4 lettres : Que signifie émettre des cris de dérision à l’encontre de quelqu’un pour marquer son opposition ?,"""{Huer}""",Comportement,Communication non verbale,Facile,10,15
V 6 lettres : Quel adjectif qualifie la première huile qui sort des olives sans qu’on les ait pressées ?,"""{Vierge}""",Cuisine,Huiles,Facile,10,18
L 11 lettres : Comment appelle-t-on une créature humanoïde qui a la capacité de se transformer en homme ou en homme-animal ?,"""{Lycanthrope}""",Mythologie,Créatures fantastiques,Difficile,10,26
K 8 lettres : Comment nomme-t-on une suite interminable de paroles ou de mots ?,"""{Kyrielle}""",Langue française,Expressions,Moyen,10,22
L 11 lettres : Quel terme désigne quelque chose qui provoque la sécrétion de larmes ?,"""{Lacrymogène}""",Santé,Effets sur le corps,Difficile,10,25
"L 5 lettres : Comment nomme-t-on une fantaisie soudaine, un caprice extravagant ?","""{Lubie}""",Comportement,Caprices,Facile,10,16
G 7 lettres : Comment appelle-t-on une créature fantastique malfaisante représentée sous les traits d’une femme à la chevelure constituée de serpents ?,"""{Gorgone}""",Mythologie,Créatures fantastiques,Moyen,10,20
"R 10 lettres : Comment nomme-t-on le mouvement artistique, philosophique et littéraire européen privilégiant l’imagination et la sensibilité en s’opposant à l’universalisme des Lumières ?","""{Romantisme}""",Art,Mouvements artistiques,Difficile,10,24
"I 7 lettres : Comment appelle-t-on une parole injurieuse à l’honneur, à la réputation ?","""{Infamie}""",Langue française,Insultes,Moyen,10,18
O 8 lettres : Quel est le synonyme de honte ?,"""{Opprobre}""",Sentiments,Honte,Moyen,10,20
F 7 lettres : Comment nomme-t-on une suite d’œuvres consacrées à un même sujet ?,"""{Fresque}""",Art,Œuvres,Facile,10,17
"D 8 lettres : Comment appelle-t-on une fissure, une cassure de la pierre dans le plan de sédimentation ?","""{Délitage}""",Géologie,Roches,Moyen,10,19
"E 9 lettres : Comment nomme-t-on une bande de dentelle, de broderie qui sépare ou qui réunit les deux parties d’un tissu ?","""{Entredeux}""",Textiles,Dentelle,Moyen,10,21
B 6 lettres : Comment dit-on d'une personne quand elle va bien ?,"""{Boumer}""",Expressions,Bien-être,Facile,10,16
E 5 lettres : Quelle est la partie la plus subtile et la plus élevée de l’atmosphère ?,"""{Ether}""",Sciences,Atmosphère,Facile,10,15
M 5 lettres : Comment qualifie-t-on quelque chose qui possède des cloisons longitudinales et transversales ?,"""{Mural}""",Architecture,Structures,Facile,10,16
M 12 lettres : Comment nomme-t-on le phénomène physiologique caractérisé par un écoulement sanguin périodique dû à l’élimination de la muqueuse utérine se produisant chez la femme lorsqu’il n'y a pas de fécondation ?,"""{Menstruation}""",Médecine,Gynécologie,Difficile,10,25
"I 8 lettres : Qui est célèbre par le mérite, par la noblesse, par quelque chose de louable et d’extraordinaire ?","""{Illustre}""",Reconnaissance,Célébrité,Moyen,10,22
I 5 lettres : Comment appelle-t-on une fausse information délivrée en connaissance de cause ?,"""{Intox}""",Médias,Désinformation,Facile,10,16
R 8 lettres : Comment s'appelle une arme à feu portative dont le barillet rotatif permet de tirer plusieurs coups sans interruption ?,"""{Revolver}""",Armement,Armes à feu,Moyen,10,20
D 11 lettres : Quelle science étudie les interactions mutuelles des unités écologiques ?,"""{Écologie}""",Sciences,Études écologiques,Difficile,10,24
"G 4 lettres : Comment appelle-t-on une personne prise par une passion, à l’origine dans le domaine du high-tech, puis par extension dans n’importe quel domaine ?","""{Geek}""",Personnalités,Passions,Facile,10,15
X 12 lettres : Comment nomme-t-on le fait de donner un caractère xénophobe à quelque chose ?,"""{Xénophobiser}""",Société,Xénophobie,Difficile,10,26
"I 6 lettres : Comment qualifie-t-on quelque chose qui est propre ou approprié à une situation, qui convient parfaitement ?","""{Idoine}""",Adaptation,Aptitude,Facile,10,17
"V 11 lettres : Quel est le terme relatif à la production de vaccin, de vaccines ?","""{Vaccinogène}""",Médecine,Vaccins,Difficile,10,25
"A 7 lettres : Quelle substance naturelle odoriférante d’origine végétale, plus rarement au règne animal, est utilisée en médecine, en parfumerie, et surtout en cuisine comme condiment ?","""{Aromate}""",Cuisine,Arômes,Moyen,10,19
P 10 lettres : Comment s'appelle l'instrument servant à mesurer l’intensité du son ou de la voix ?,"""{Phonomètre}""",Musique,Instruments de mesure,Difficile,10,23
E 4 lettres : Quel est le sigle de l’institution internationale d’enseignement supérieur basé au Sénégal et offrant des programmes d’études en télécommunications ?,"""{ESMT}""",Éducation,Institutions internationales,Facile,10,15
R 5 lettres : Comment s'appelle la plus grande manufacture de montres de luxe ?,"""{Rolex}""",Mode,Montres,Facile,10,15
M 9 lettres : Comment s'appelle le petit du sanglier et de la laie ?,"""{Marcassin}""",Animaux,Mammifères,Facile,10,18
E 12 lettres : Comment s'appelle l'ouvrage où l’on expose méthodiquement dans un ordre logique ou formel les connaissances dans tous les domaines ?,"""{Encyclopédie}""",Éducation,Littérature,Difficile,10,30
