question,answer,thematic,subThematic,level,points,times
Quel nom porte l'acteur interprétant le personnage principal du film Uncharted ?,"""{Tom Holland}""",Cinéma,Acteurs,Difficile,10,21
Quel film détient le record du film le plus cher en production ?,"""{Solo: A Star Wars Story}""",Cinéma,Records de production,Très Difficile,10,16
Quel studio d'animation a donné vie à des films tels que «Rio» et «L'Âge de glace» avant sa fermeture en 2021 ?,"""{Blue Sky}""",Cinéma,Studios d'animation,Difficile,10,20
En quelle année a fermé ses portes le studio d'animation qui a produit des succès comme «Rio» et «L'Âge de glace» ?,"""{2021}""",Cinéma,Studios,Moyen,10,21
Combien de films compte la série Saw ?,"""{10}""",Cinéma,Séries,Moyen,10,16
A quelle date a débuté la Mostra de Venise 2011 ?,"""{31 Août}""",Cinéma,Festivals,Moyen,10,21
Quel film de George Clooney a été présenté lors du festival de la Mostra de Venise 2011,"""{Les marches du pouvoir}""",Cinéma,Films de festivals,Difficile,10,22
Quel film reçoit en 1980 la palme d’or au festival de Cannes ?,"""{Kagemusha d’Akira Kurosawa}""",Cinéma,Palme d'or,Difficile,10,23
Qui joue le rôle principal de Travis Bickle dans Taxi Driver de Martin Scorcese réalisé en 1976 ?,"""{Robert de Niro}""",Cinéma,Acteurs,Difficile,10,24
Film de Quentin Tarantino sorti au mois d’août 2009 avec Mélanie Laurent et Brad Pitt ?,"""{Inglourious Basterds}""",Cinéma,Films,Moyen,10,25
Quel acteur commun aux films « Gladiator » et « Signs » a décidé d'abandonner sa profession pour lancer sa carrière de rappeur ?,"""{Joaquin Phoenix}""",Cinéma,Acteurs,Difficile,10,26
Quel film de 2004 remporta la Palme d’Or du festival de Cannes ?,"""{Fahrenheit 9/11}""",Cinéma,Palme d'Or,Difficile,10,27
Qui a réalisé le film Forrest Gump ?,"""{Robert Zemeckis}""",Cinéma,Réalisateurs,Moyen,10,28
"Le film de 1996 Mars Attack! mettant en scène plusieurs vedettes tel que Jack Nicholson, Pierce Brosnan, Sarah Jessica Parker et Tom Jones a été réalisé par quel américain ?","""{Tim Burton}""",Cinéma,Réalisateurs,Difficile,10,29
"Nom de l’opération de reprise de contrôle de l’Allemagne nazie par l’armée de réserve en cas d’insurrection, et film de Bryan Singer avec Tom Cruise.","""{Valkyrie}""",Cinéma,Opérations militaires,Difficile,10,30
Quel est le nom du festival qui est le plus important au monde en termes de notoriété et de participation dans le domaine de la bande dessinée francophone ?,"""{Le festival d’Angoulême en France}""",Culture,Festivals de bande dessinée,Difficile,10,31
Quel est le prénom du festival de cinéma africain qui se tient chaque année à Ouagadougou et qui récompense les meilleures productions africaines ?,"""{FESPACO}""",Cinéma,Festivals de cinéma africain,Difficile,10,32
Quel est le nom du film béninois qui relate l’histoire d’un jeune homme qui se fait passer pour un prêtre pour échapper à la justice ?,"""{Le Faussaire}""",Cinéma,Films béninois,Difficile,10,33
Quel film d’animation sorti le 21 décembre 1937 est le premier long métrage produit par les studios Disney et a reçu un Oscar d’honneur en 1939 ?,"""{Blanche Neige et les Sept Nains}""",Cinéma,Films d'animation,Difficile,10,34
Quel est le nom de la mère de Simba dans le film d’animation « Le roi Lion » ?,"""{Sarabi}""",Cinéma,Personnages de films d'animation,Moyen,10,35
Sur combien de jours se déroule le festival de Cannes ?,"""{12 jours}""",Cinéma,Festivals,Moyen,10,36
"Dans le film de Barbie de Greta Gerwig où Margot Robbie joue le rôle de l’actrice principale, quelle actrice noire joue le rôle de la Barbie Présidente ? Elle a été protagoniste principale de la série à succès « INSECURE » et dans « SUICIDE SQUAD »","""{Issa Rae}""",Cinéma,Actrices de films,Difficile,10,37
Quel acteur a joué le rôle James Bond dans le film ‘’Casino Royale’’ ?,"""{Daniel Craig}""",Cinéma,Acteurs de James Bond,Moyen,10,38
Quel film d’horreur a le budget le plus élevé de toute l’histoire?,"""{It}""",Cinéma,Films d'horreur,Difficile,10,39
Qui a fait le premier film ?,"""{Louis Aimé Augustin Le Prince}""",Cinéma,Pionniers du cinéma,Difficile,10,40
Qui a interprété le rôle du Christ dans le film Jésus de Nazareth de Franco Zeffirelli ?,"""{Robert Powell}""",Cinéma,Acteurs bibliques,Difficile,10,41
Quel est le nom de la réalisatrice du film Barbie Land sorti en 2023 ?,"""{Greta Gerwig}""",Cinéma,Réalisateurs,Moyen,10,42
"Dans quelle série jeunesse sortie sur Disney Channel découvre-t-on en 2010 l’actrice, chanteuse et danseuse Zendaya ?","""{Shake It Up}""",Télévision,Séries jeunesse,Moyen,10,43
En quelle année est sorti le premier film de la série de films Saw ?,"""{2004}""",Cinéma,Films,Moyen,10,44
"Quel acteur, mort en 2023, a joué l'un des rôles principaux dans la série Friends ?","""{Matthew Perry}""",Télévision,Acteurs,Difficile,10,45
Quels sont les trois acteurs qui ont incarné le personnage de Spider-Man ?,"""{Tobey Maguire, Andrew Garfield, Tom Holland}""",Cinéma,Acteurs,Moyen,10,46
Quelles récompenses cinématographiques décerne-t-on aux meilleures productions américaines ?,"""{Les Oscars}""",Cinéma,Récompenses cinématographiques,Facile,10,47
"Quel film de James Cameron est le premier au box office mondial avec 2,92 milliards de dollars de recettes !","""{Avatar}""",Cinéma,Films de James Cameron,Difficile,10,48
Quelle est l’année de sortie du film ‘’Danse avec les loups’’ ?,"""{1990}""",Cinéma,Films,Facile,10,49
Quelle a été la durée du plus long film documentaire ?,"""{14h33min}""",Cinéma,Durée des films documentaires,Difficile,10,50
Qui est le meilleur acteur aux Oscars 2023 ?,"""{Brendan Fraser, The Whale}""",Cinéma,Acteurs aux Oscars,Difficile,10,51
Quelle comédie musicale est devenue le plus gros succès de tous les temps ?,"""{Le Roi Lion}""",Cinéma,Comédies musicales,Difficile,10,52
Qui a construit le canal de l’Olympia ?,"""{China Road and Bridge Corporation}""",Géographie,Ouvrages d'art,Difficile,10,53
Quel est le vrai nom du héros dans Black Adams ?,"""{Johnson Dwayne}""",Cinéma,Acteurs de Black Adams,Moyen,10,54
Comment appelle-t-on le marteau de Thor ?,"""{Mjölnir}""",Cinéma,Armes de fiction,Facile,10,55
En quelle année est sortie Avengers : Infinity War ?,"""{2018}""",Cinéma,Films Marvel,Facile,10,56
Quel est le nom du personnage qui a interprété la voix de Sonic dans le film ?,"""{Ben Schwartz}""",Cinéma,Acteurs de films d'animation,Moyen,10,57
Quelle maison de production a produit le dernier film de Tom and Jerry ?,"""{Warner Bros}""",Cinéma,Maison de production,Facile,10,58
En quelle année est sortie la dernière partie du film « After Ever Happy » ?,"""{2022}""",Cinéma,Années de sortie de films,Facile,10,59
Quelle est la plus grande industrie cinématographique du monde ?,"""{Bollywood}""",Cinéma,Industries cinématographiques,Difficile,10,60
Quel est le film le plus vendu en 2022 ?,"""{Avengers End Game}""",Cinéma,Records de ventes de films,Difficile,10,61
Quelle série raconte la vie d'Élisabeth 2?,"""{The Crown}""",Télévision,Séries biographiques,Facile,10,62
