question,answer,thematic,subThematic,level,points,times
Quelle est la langue officielle de l’Afrique du Sud ?,"""{Anglais, Afrikaans}""",Langues,Langues officielles en Afrique,Facile,10,22
Quelles sont la langue officielle de l’Algérie ?,"""{Arabe, Français}""",Langues,Langues officielles en Afrique,Facile,10,24
Quelles sont les langues officielles du Portugal ?,"""{Portugais}""",Langues,Langues officielles en Afrique,Facile,10,20
Quelle est la langue officielle du Bénin ?,"""{Français}""",Langues,Langues officielles en Afrique,Facile,10,18
Quelle est la langue officielle du Botswana ?,"""{Anglais}""",Langues,Langues officielles en Afrique,Facile,10,18
Quelle est la langue officielle du Burkina Faso ?,"""{Français}""",Langues,Langues officielles en Afrique,Facile,10,20
Quelle est la langue officielle du Burundi ?,"""{Français}""",Langues,Langues officielles en Afrique,Facile,10,18
Quelle est la langue officielle du Portugal ?,"""{Portugais}""",Langues,Langues officielles en Afrique,Facile,10,18
Quelle est la capitale de la Corée du nord ?,"""{Pyongyang}""",Géographie,Capitales,Facile,10,18
Quelle est la capitale du Kenya ?,"""{Nairobi}""",Géographie,Capitales,Facile,10,16
Quelle est la capitale de la Turquie ?,"""{Ankara}""",Géographie,Capitales,Facile,10,16
Quelle est la capitale du Pérou ?,"""{Lima}""",Géographie,Capitales,Facile,10,14
Quelle est la capitale de l’Iran ?,"""{Téhéran}""",Géographie,Capitales,Facile,10,16
Quelle est la capitale de la Belgique ?,"""{Bruxelles}""",Géographie,Capitales,Facile,10,18
Quelle est la capitale de l’Egypte ?,"""{Caire}""",Géographie,Capitales,Facile,10,14
Quelle est la capitale de Cuba ?,"""{Havane}""",Géographie,Capitales,Facile,10,16
Quelle est la capitale de la Corée du nord ?,"""{Pyongyang}""",Géographie,Capitales,Facile,10,18
Quelle est la capitale du Kenya ?,"""{Nairobi}""",Géographie,Capitales,Facile,10,16
Quelle est la capitale de la Turquie ?,"""{Ankara}""",Géographie,Capitales,Facile,10,16
Quelle est la capitale du Pérou ?,"""{Lima}""",Géographie,Capitales,Facile,10,14
Quelle est la capitale de l’Iran ?,"""{Téhéran}""",Géographie,Capitales,Facile,10,16
Quelle est la capitale de la Belgique ?,"""{Bruxelles}""",Géographie,Capitales,Facile,10,18
Quelle est la capitale de l’Egypte ?,"""{Caire}""",Géographie,Capitales,Facile,10,14
Quelle est la capitale de Cuba ?,"""{Havane}""",Géographie,Capitales,Facile,10,16
Qui est le ministre de la justice et de la législation du Bénin ?,"""{Yvon DETCHENOU}""",Politique,Ministres du Bénin,Difficile,10,24
Qui est le ministre des affaires étrangères du Bénin ?,"""{Olushegun Adjadi BAKARI}""",Politique,Ministres du Bénin,Difficile,10,27
Qui est le ministre du cadre de vie et des transports du Bénin ?,"""{José Didier TONATO}""",Politique,Ministres du Bénin,Difficile,10,27
Qui est le ministre d’état chargé du développement et de la coordination du Bénin ?,"""{Abdoulaye Bio TCHANE}""",Politique,Ministres du Bénin,Difficile,10,30
"Qui est le ministre de l’agriculture, de l’élevage et de la pêche du Bénin ?","""{Gaston DUSSOUHOUI}""",Politique,Ministres du Bénin,Difficile,10,27
Qui est le ministre des affaires sociales et de la Micro-Finance du Bénin ?,"""{Véronique TOGNIFODE }""",Politique,Ministres du Bénin,Difficile,10,27
Qui est le ministre de la santé du Bénin ?,"""{Benjamin HOUNKPATIN}""",Politique,Ministres du Bénin,Difficile,10,24
Qui est le ministre des sports du Bénin ?,"""{Benoit M. K. DATO}""",Politique,Ministres du Bénin,Difficile,10,22
Quel est le nom du phénomène météorologique qui peut entrainer des turbulences lors d’un vol ?,"""{Cisaillement du vent}""",Aviation,,Difficile,10,24
Quelle est l’unité utilisée couramment pour la mesure de la vitesse d’un aéronef en vol ?,"""{Le nœud}""",Aviation,,Moyen,10,22
Appareil destiné à restituer les paramètres de vol et les conversations des pilotes pour l’analyse des circonstances d’un accident.,"""{Enregistreur de vol ou boite noire}""",Aviation,,Difficile,10,30
Nom de l’avion dessiné et construit par les frères Américains Wright,"""{Le Wright Flyer}""",Aviation,,Difficile,10,24
Quel célèbre aviateur américain a été le premier à réaliser un vol sans escale transatlantique en solo en 1927 ?,"""{Charles Lindbergh}""",Aviation,,Difficile,10,27
"Quel accident d’avion a inspiré le film 'Sully' en 2016, mettant en vedette Tom Hanks ?","""{Accident du vol US Airways 1549, connu sous le nom de ‘Miracle sur l’Hudson’}""",Aviation,,Difficile,10,30
En quelle année a-t-on réalisé le premier vol commercial ?,"""{1914}""",Aviation,,Moyen,10,20
Quel est le plus grand constructeur d’avions ?,"""{Airbus (depuis 2019)}""",Aviation,,Moyen,10,22
Comment nomme-t-on 3 ans de noces ?,"""{Froment}""",Mariage,Noms des anniversaires,Difficile,10,20
Comment nomme-t-on 13 ans de noces ?,"""{Muguet}""",Mariage,Noms des anniversaires,Difficile,10,18
Comment nomme-t-on 23 ans de noces ?,"""{Béryl}""",Mariage,Noms des anniversaires,Difficile,10,18
Comment nomme-t-on 33 ans de noces ?,"""{Porphyre}""",Mariage,Noms des anniversaires,Difficile,10,22
Comment nomme-t-on 43 ans de noces ?,"""{Flanelle}""",Mariage,Noms des anniversaires,Difficile,10,22
Comment nomme-t-on 7 ans de noces ?,"""{Laine}""",Mariage,Noms des anniversaires,Difficile,10,16
Comment nomme-t-on 17 ans de noces ?,"""{Rose}""",Mariage,Noms des anniversaires,Difficile,10,16
Comment nomme-t-on 27 ans de noces ?,"""{Acajou}""",Mariage,Noms des anniversaires,Difficile,10,18
Comment nomme-t-on 37 ans de noces ?,"""{Papier}""",Mariage,Noms des anniversaires,Difficile,10,18
Comment nomme-t-on 47 ans de noces ?,"""{Cachemire}""",Mariage,Noms des anniversaires,Difficile,10,22
Quelle est la langue officielle du Cuba ?,"""{Espagnol}""",Langues,Langues officielles dans le monde,Facile,10,18
Quelle est la langue officielle du Kenya ?,"""{Anglais, Swahili}""",Langues,Langues officielles dans le monde,Facile,10,22
Quelle est la langue officielle de la Guinée Equatoriale ?,"""{Espagnol, Français}""",Langues,Langues officielles dans le monde,Facile,10,24
Quelle est la langue officielle de la Namibie ?,"""{Anglais}""",Langues,Langues officielles dans le monde,Facile,10,18
Quelle est la langue officielle de l’Autriche ?,"""{Allemand}""",Langues,Langues officielles dans le monde,Facile,10,18
Quelle est la langue officielle du Paraguay ?,"""{Espagnol, Guarani}""",Langues,Langues officielles dans le monde,Facile,10,22
Quelle est la langue officielle du Cap-Vert ?,"""{Portugais}""",Langues,Langues officielles dans le monde,Facile,10,18
Quelle est la langue officielle de l’Ukraine ?,"""{Ukrainien}""",Langues,Langues officielles dans le monde,Facile,10,18
Quel est l'indicatif téléphonique international de l'Angola ?,"""{244}""",Géographie,Indicatifs téléphoniques,Moyen,10,18
Quel est l'indicatif téléphonique international de la Namibie ?,"""{264}""",Géographie,Indicatifs téléphoniques,Moyen,10,18
Quel est l'indicatif téléphonique international du Luxembourg ?,"""{352}""",Géographie,Indicatifs téléphoniques,Moyen,10,18
Quel est l'indicatif téléphonique international de la Corée du Nord ?,"""{850}""",Géographie,Indicatifs téléphoniques,Moyen,10,20
Quel est l'indicatif téléphonique international de la Corée du Sud ?,"""{82}""",Géographie,Indicatifs téléphoniques,Moyen,10,16
Quel est l'indicatif téléphonique international des États-Unis ?,"""{1}""",Géographie,Indicatifs téléphoniques,Moyen,10,16
Quel est l'indicatif téléphonique international de la Jamaïque ?,"""{1876}""",Géographie,Indicatifs téléphoniques,Moyen,10,20
Quel est l'indicatif téléphonique international de la Thaïlande ?,"""{66}""",Géographie,Indicatifs téléphoniques,Moyen,10,16
Quel club est le plus titré de l’histoire du football ?,"""{Real Madrid}""",Sports,Football,Facile,10,18
Quel défenseur professionnel de football a marqué 101 buts en carrière ?,"""{Sergio Ramos}""",Sports,Football,Moyen,10,24
Combien de buts Karim Benzema a-t-il marqué en Ligue des Champions ?,"""{72 buts}""",Sports,Football,Moyen,10,22
Qui a marqué le deuxième but lors de la finale de la Ligue des Champions 2018 entre le Real Madrid et Liverpool ?,"""{Gareth Bale}""",Sports,Football,Difficile,10,30
Quel pays a remporté le plus de Coupes du Monde de rugby ?,"""{Nouvelle-Zélande}""",Sports,Rugby,Moyen,10,24
Combien de fois l'équipe du Bénin s'est qualifiée pour la Coupe d'Afrique des Nations de football ?,"""{4 fois}""",Sports,Football,Moyen,10,24
Quel pays a remporté le plus de Coupes d'Afrique des Nations de football ?,"""{Egypte}""",Sports,Football,Facile,10,18
Quel jeune joueur sénégalais a marqué un doublé contre l’Argentine en Coupe du monde U17 2023 ?,"""{Amara Diouf}""",Sports,Football,Difficile,10,26
