question,answer,thematic,subThematic,level,points,times
Que signifie la locution latine : Errare humanum est ?,"""{L’erreur est humaine}""",Langage,Latin,Très Facile,10,16
Epeler le mot ORNITHORYNQUE.,"""{OrnithORhynque}""",Sciences,Zoologie,Très Facile,10,16
Conjuguer le verbe ‘’Dessiner’’ à la première personne du pluriel au subjonctif imparfait,"""{nous dessinassions}""",Langage,Grammaire,Facile,10,16
Synonyme de Prohiber,"""{Interdire, Défendre}""",Langage,Synonymes,Facile,10,16
Que signifie le mot nonobstant?,"""{Malgré}""",Langage,Synonymes,Facile,10,16
Epeler le mot ex-aequo :,"""{ex-aequo}""",Langage,Orthographe,Facile,10,16
Quelle est le féminin de assasin » ?: Assassine,"""{Assassine}""",Langage,Genre des mots,Facile,10,16
"Entre batracien et bâtir, lequel a un accent circonflexe sur la lettre a ?: BATIR.","""{BATIR}""",Langage,Orthographe,Facile,10,16
"Conjuguer le verbe naitre au passé simple, à la première personne du singulier : je naquis","""{je naquis}""",Langage,Grammaire,Facile,10,16
Completer les proverbes : a vaincre sans péril on triomphe sans gloire,"""{}""",Langage,Proverbes,Facile,10,16
qu’est-ce que la pantophobie ?,"""{}""",Psychologie,Phobies,Moyen,10,16
"que signifie en français « veni,vidi,vici » ?","""{}""",Langage,Latin,Très Facile,10,16
que signifie en français « memento mori » ?,"""{Souviens-toi que tu vas mourir}""",Religion,Mort,Très Facile,10,16
Spécialiste de la microbiologie qui étudie les bactéries,"""{Bactériologiste}""",Sciences,Biologie,Facile,10,16
Personne qui fabrique ou vend du chocolat,"""{Confiseur, Chocolatier}""",Cuisine,Confiserie,Facile,10,16
Amateur ou collectionneur de disques,"""{Discophile}""",Musique,Disque,Facile,10,16
Professionnel qui travaille ou vend le diamant,"""{Diamantaire}""",Joaillerie,Diamants,Facile,10,16
Epeler le mot COCCYX,"""{Coccyx}""",Anatomie,Squelette,Très Facile,10,16
Conjuguer le verbe « Customiser » a la 2e personne du subjonctif imparfait,"""{que tu customisasses}""",Langage,Grammaire,Facile,10,16
Expliquer cette locution latine : Age quod agis ?,"""{Fais ce que tu veux}""",Langage,Latin,Très Facile,10,16
Que signifie cette expression latine : « Homo homini lupus » ?,"""{L’homme est un loup pour l’homme}""",Langage,Latin,Très Facile,10,16
Epeler le mot dithyrambique,"""{Dithyrambique}""",Langage,Orthographe,Très Facile,10,16
Conjuguer le verbe rire à la 1ere personne du pluriel à l’imparfait du mode subjonctif,"""{que nous rissions}""",Langage,Grammaire,Facile,10,16
"Complétez ce proverbe : « Si jeunesse savait, si vieillesse…… »","""{pouvait}""",Langage,Proverbes,Facile,10,16
"Repérer les deux mots qui viennent de l’arabe dans cette phrase : Le café, dans le samovar, est placé sur la table, à côté du sucre.","""{café et sucre}""",Langage,Origine des mots,Très Facile,10,16
Quelle figure de style est utilisée dans l’expression « Je vis et je meurs»,"""{Antithèse}""",Langage,Figures de style,Très Facile,10,16
Dans quelle région du monde utilise-t-on le mot béké?,"""{Martinique}""",Géographie,France d'outre-mer,Facile,10,16
Par quelle figure de style peut-on définir les mots « kayak » et « laval »?,"""{Palindrome}""",Langage,Figures de style,Facile,10,16
Quelle expression avec le mot comète veut dire faire des plans chimériques ?,"""{Tirer des plans sur la comète}""",Langage,Expressions idiomatiques,Facile,10,16
Quelle expression avec le mot Don sert à qualifier un personnage généreux et idéaliste qui a tendance à confondre réel et imaginaire ?,"""{Don Quichotte}""",Littérature,Personnages littéraires,Moyen,10,16
Quel proverbe avec le mot chien veut dire qu’on hérite généralement des qualités de sa famille ?,"""{Bon chien chasse de race}""",Langage,Proverbes,Très Facile,10,16
Quel proverbe avec le mot charité se dit de celui qui se moque de la misère d’autrui bien qu’il soit lui-même misérable ?,"""{C’est l’hôpital qui se moque de la charité}""",Langage,Proverbes,Très Facile,10,16
Que signifie en français la phrase tempus fugit ?,"""{Le temps fuit}""",Langage,Latin,Très Facile,10,16
Que signifie en français la phrase mens sana in corpore sano ?,"""{Un esprit sain dans un corps sain}""",Langage,Latin,Très Facile,10,16
Epeler le pluriel du mot javelot,"""{javelots}""",Langage,Orthographe,Très Facile,10,16
"Epeler le verbe tâter à l’imparfait de l’indicatif, troisième personne du pluriel","""{Tâtaient}""",Langage,Grammaire,Très Facile,10,16
Qui a écrit ‘Critique de la raison pure’ ?,"""{Emmanuel KANT}""",Philosophie,Personnalités,Moyen,10,16
Qui a écrit ‘Le semeur’ ?,"""{Victor HUGO}""",Littérature,Personnalités,Moyen,10,16
Que signifie la locution latine ’Cogito elgo sum’ ?,"""{Je pense donc je suis}""",Philosophie,Latin,Moyen,10,16
Conjuguez le verbe falloir au subjonctif imparfait,"""{Qu’il fallût}""",Langage,Grammaire,Moyen,10,16
